crater	rim	13	the thurston lava tube was our last stop on crater rim drive itself	cratère	bord	13	quand la montagne est en crise , comme ici au bord du cratère fumant du kilauea , la fête revêt un caractère propitiatoire
crater	rim	14	* 16 january 1993 p.5 british scientist dies in colombian volcano eruption geoffrey brown by james adams and ian murray a leading british scientist was among nine people killed when a volcano in colombia erupted as they were walking along the inner rim of the crater	cratère	bord	14	au bord du cratère du kawah idjen , en indonésie , les fumerolles déposent de grandes quantités de soufre
crater	rim	15	both are enclosed within the crater rim on the right in a prehistoric dome complex , in which the younger domes are pushing outward on the crater rim	cratère	bord	15	depuis le début du phénomène éruptif , les coulées de lave parcourent la distance qui séparent le cratère du bord de mer , agrandissant progressivement la surface de l île
crater	rim	16	it also had to contend with boulders that had been shot up to the crater rim during mount spurr s last eruption , in 1993	cratère	bord	16	c est sous la conduite d un vulcanologue que la fnac voyages 6 , bd de sébastopol , 75004 paris , tél.: 42-71-31-25 propose d aller bivouaquer au bord du cratère pour y observer et y photographier le spectacle
crater	rim	17	the road around the perimeter of the caldera is crater rim drive	cratère	bord	17	au bord du cratère actuel sans doute celui de l éruption de 1631 , vous entendrez sûrement l un des guides essayer de communiquer un frisson de crainte à un groupe de touristes , en affirmant que le vésuve va se réveiller très , très bientôt peut-être même dans la demi-heure qui sui !
crater	rim	18	this photograph , taken in 1977 , shows the growing composite dome of bezymianny rising above the crater rim	cratère	bord	18	les images les montrent au bord des cratères , à quelques mètres des projections de magma incandescent
crater	rim	19	to tour the volcano , we took the popular 11-mile crater rim drive , which loops around the kilauea summit	cratère	bord	19	<#mon-7-105> le monde du 08/03/1994 pag : 13 titre de l articl : environnement l expédition de jean-louis etienne sur le volcan erebus les images du cousteau des glaces castaing michel si jean-louis etienne ne devait conserver qu un unique souvenir de son expédition , achevée la semaine dernière , sur l erebus , seul volcan du pôle sud en activité , ce serait , a-t-il confié mardi 1 mars devant la presse , les deux heures passées seul , égoïstement , au bord du cratère
crater	rim	20	explosive eruptions threw hoc fragments 1000 meters 3300 feet above the crater rim	cratère	bord		
crater	rim	21	dante was connected by a tether to an electric generator and a satellite dish on the rim of the crater	cratère	bord		
crater	rim	22	if the diggers had been properly supervised , then they would not have forgotten to leave a big plug in place. he said the plug left between the canal and the crater rim should have been several metres thick but it ended up only a fraction of that	cratère	bord		
crater	rim	23	feodor and 1 chatted about our lives and our familier as the sun sank toward the crater rim	cratère	bord		
crater	rim	24	after a shivering night on the pine-studded crater rim	cratère	bord		
crater	rim	25	crater rim drive gives motorists a circle tour of the birthplace of the big island of hawaii	cratère	bord		
crater	rim	26	danger potential 1 2 kilauea , hawaii the most continuously active volcano on earth , kilauea spews out five cubic metres of lava per second but is not considered that dangerous , having a hotel on the rim of one of its craters	cratère	bord		
crater	rim	27	but once dante got started , it was clear we were dealing with a 12. steadied by a cable anchored on the crater rim , the ten-foot-long robot inched its way down the 30-degree incline , struggling to stay on top of the wet snow and muddy ash with the help of circular snowshoes	cratère	bord		
crater	rim	28	the 1924 blocks shown is this photo can still be seen along crater rim drive near the crater	cratère	bord		
crater	rim	29	nahuku thurston lava tube is on crater rim drive and visited by millions of park visitors every year	cratère	bord		
crater	rim	30	three months before the eruption , the long-lived lava lake in halemaumau played actively about 150 feet below the crater rim	cratère	bord		
crater	rim	31	even today some people bring gifts , but out of reverence rather than fear , throwing them into halemaumau after a brief prayer or occasionally leaving them on the rim of the crater	cratère	bord		
